StockCode,ProductDescription,TotalQuantity,TotalRevenue,TotalOrders,InventoryStatus,Recommendation
16156S,WRAP PINK FAIRY CAKES ,16586,6527.12,417,High Demand,Increase Stock
21088,SET/6 FRUIT SALAD PAPER CUPS,16503,1723.3300000000002,104,High Demand,Increase Stock
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,16469,44998.270000000004,1233,High Demand,Increase Stock
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,16445,15241.51,821,High Demand,Increase Stock
22385,JUMBO BAG SPACEBOY DESIGN,16383,29810.15,971,High Demand,Increase Stock
22294,HEART FILIGREE DOVE  SMALL,16260,19686.6,707,High Demand,Increase Stock
21791,VINTAGE HEADS AND TAILS CARD GAME ,16199,19147.65,1050,High Demand,Increase Stock
22029,SPACEBOY BIRTHDAY CARD,16198,6440.06,808,High Demand,Increase Stock
85152,HAND OVER THE CHOCOLATE   SIGN ,16146,30615.930000000004,1300,High Demand,Increase Stock
22077,6 RIBBONS RUSTIC CHARM,16026,27031.04,1361,High Demand,Increase Stock
22189,CREAM HEART CARD HOLDER,15946,47414.200000000004,1129,High Demand,Increase Stock
22961,JAM MAKING SET PRINTED,15867,22328.95,903,High Demand,Increase Stock
21086,SET/6 RED SPOTTY PAPER CUPS,15834,9513.300000000001,621,High Demand,Increase Stock
21096,SET/6 FRUIT SALAD  PAPER PLATES,15776,2572.34,101,High Demand,Increase Stock
20712,JUMBO BAG WOODLAND ANIMALS,15709,29105.5,915,High Demand,Increase Stock
82482,WOODEN PICTURE FRAME WHITE FINISH,15643,37011.1,1658,High Demand,Increase Stock
21967,PACK OF 12 SKULL TISSUES,15449,4246.29,371,High Demand,Increase Stock
22355,CHARLOTTE BAG SUKI DESIGN,15411,12268.65,957,High Demand,Increase Stock
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,15376,12124.119999999999,889,High Demand,Increase Stock
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15358,26847.1,721,High Demand,Increase Stock
85175,CACTI T-LIGHT CANDLES,15302,6128.12,409,High Demand,Increase Stock
40016,CHINESE DRAGON PAPER LANTERNS,15301,4961.12,196,High Demand,Increase Stock
20724,RED RETROSPOT CHARLOTTE BAG,15168,12034.8,908,High Demand,Increase Stock
21080,SET/20 RED SPOTTY PAPER NAPKINS ,15165,11310.21,781,High Demand,Increase Stock
22659,LUNCH BOX I LOVE LONDON,15156,26596.719999999998,763,High Demand,Increase Stock
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15028,17162.93,559,High Demand,Increase Stock
16033,MINI HIGHLIGHTER PENS,15001,1530.12,49,High Demand,Increase Stock
79321,CHILLI LIGHTS,14843,69084.3,922,High Demand,Increase Stock
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,14630,40219.82,1144,High Demand,Increase Stock
22551,PLASTERS IN TIN SPACEBOY,14623,23194.95,1156,High Demand,Increase Stock
20723,STRAWBERRY CHARLOTTE BAG,14542,11654.8,988,High Demand,Increase Stock
22560,TRADITIONAL MODELLING CLAY,14393,16851.64,655,High Demand,Increase Stock
82494L,WOODEN FRAME ANTIQUE WHITE ,14368,39909.170000000006,1773,High Demand,Increase Stock
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,14329,11229.27,890,High Demand,Increase Stock
21703,BAG 125g SWIRLY MARBLES,14289,5416.09,452,High Demand,Increase Stock
22379,RECYCLING BAG RETROSPOT ,14259,27893.78,1013,High Demand,Increase Stock
21829,DINOSAUR KEYRINGS ASSORTED,14192,2940.0299999999997,300,High Demand,Increase Stock
22457,NATURAL SLATE HEART CHALKBOARD ,14187,40276.170000000006,1637,High Demand,Increase Stock
21918,SET 12 KIDS COLOUR  CHALK STICKS,14126,5681.2,585,High Demand,Increase Stock
21976,PACK OF 60 MUSHROOM CAKE CASES,14053,7073.63,713,High Demand,Increase Stock
21498,RED RETROSPOT WRAP ,14022,5724.24,438,High Demand,Increase Stock
22969,HOMEMADE JAM SCENTED CANDLES,14012,20204.8,577,High Demand,Increase Stock
22383,LUNCH BAG SUKI  DESIGN ,13896,22026.4,1073,High Demand,Increase Stock
85099B,JUMBO BAG RED WHITE SPOTTY ,13879,24323.85,465,High Demand,Increase Stock
23199,JUMBO BAG APPLES,13875,26426.3,718,High Demand,Increase Stock
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,13874,39822.34,644,High Demand,Increase Stock
21877,HOME SWEET HOME MUG,13856,15399.56,650,High Demand,Increase Stock
22386,JUMBO BAG PINK WITH WHITE SPOTS,13766,24450.6,712,High Demand,Increase Stock
21085,SET/6 WOODLAND PAPER CUPS,13712,1843.1200000000001,56,High Demand,Increase Stock
22865,HAND WARMER OWL DESIGN,13675,27514.63,1058,High Demand,Increase Stock
21091,SET/6 WOODLAND PAPER PLATES,13668,1817.16,34,High Demand,Increase Stock
22045,SPACEBOY GIFT WRAP,13642,5603.64,442,High Demand,Increase Stock
75049L,LARGE CIRCULAR MIRROR MOBILE,13566,12173.5,230,High Demand,Increase Stock
22558,CLOTHES PEGS RETROSPOT PACK 24 ,13410,18411.74,1017,High Demand,Increase Stock
21099,SET/6 STRAWBERRY PAPER CUPS,13284,1506.6000000000001,29,High Demand,Increase Stock
16161P,WRAP ENGLISH ROSE ,13198,5435.4,440,High Demand,Increase Stock
22556,PLASTERS IN TIN CIRCUS PARADE ,13112,20950.16,1100,High Demand,Increase Stock
37340,MULTICOLOUR SPRING FLOWER MUG,13083,2539.31,95,High Demand,Increase Stock
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,12969,6124.849999999999,726,High Demand,Increase Stock
84946,ANTIQUE SILVER T-LIGHT GLASS,12949,15176.42,534,High Demand,Increase Stock
22297,HEART IVORY TRELLIS SMALL,12939,15836.59,646,High Demand,Increase Stock
22554,PLASTERS IN TIN WOODLAND ANIMALS,12824,20471.68,1097,High Demand,Increase Stock
21092,SET/6 STRAWBERRY PAPER PLATES,12806,1504.94,18,High Demand,Increase Stock
20974,12 PENCILS SMALL TUBE SKULL,12699,8049.150000000001,684,High Demand,Increase Stock
21498,RED SPOTS  WRAP ,12650,5105.0,361,High Demand,Increase Stock
22147,FELTCRAFT BUTTERFLY HEARTS,12605,17238.05,1026,High Demand,Increase Stock
82580,BATHROOM METAL SIGN,12594,6683.860000000001,927,High Demand,Increase Stock
23201,JUMBO BAG ALPHABET,12533,24160.44,752,High Demand,Increase Stock
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12532,23322.62,408,High Demand,Increase Stock
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12356,33670.240000000005,985,High Demand,Increase Stock
22030,SWALLOWS GREETING CARD,12340,4948.05,601,High Demand,Increase Stock
21930,JUMBO STORAGE BAG SKULLS,12305,22795.28,997,High Demand,Increase Stock
85220,SMALL FAIRY CAKE FRIDGE MAGNETS,12236,6875.0,5,High Demand,Increase Stock
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,12180,5333.28,662,High Demand,Increase Stock
22149,FELTCRAFT 6 FLOWER FRIENDS,12174,24248.29,1189,High Demand,Increase Stock
22610,PENS ASSORTED FUNNY FACE,12170,4764.98,223,High Demand,Increase Stock
22534,MAGIC DRAWING SLATE SPACEBOY ,11981,4833.3,461,High Demand,Increase Stock
22699,ROSES REGENCY TEACUP AND SAUCER ,11939,32470.65,1056,High Demand,Increase Stock
22418,10 COLOUR SPACEBOY PEN,11892,9878.1,472,High Demand,Increase Stock
23310,BUBBLEGUM RING ASSORTED,11891,4894.83,213,High Demand,Increase Stock
21914,BLUE HARMONICA IN BOX ,11830,14667.47,815,High Demand,Increase Stock
21889,WOODEN BOX OF DOMINOES,11803,14430.66,869,High Demand,Increase Stock
82583,HOT BATHS METAL SIGN,11797,23010.120000000003,820,High Demand,Increase Stock
22993,SET OF 4 PANTRY JELLY MOULDS,11769,14151.42,866,High Demand,Increase Stock
21891,TRADITIONAL WOODEN SKIPPING ROPE,11721,14603.13,664,High Demand,Increase Stock
22866,HAND WARMER SCOTTY DOG DESIGN,11667,23436.660000000003,939,High Demand,Increase Stock
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,11661,5974.389999999999,504,High Demand,Increase Stock
22998,TRAVEL CARD WALLET KEEP CALM,11645,4641.32,437,High Demand,Increase Stock
84949,SILVER HANGING T-LIGHT HOLDER,11635,18001.35,612,High Demand,Increase Stock
23206,LUNCH BAG APPLE DESIGN,11530,18220.5,866,High Demand,Increase Stock
85110,BLACK SILVER FLOWER T-LIGHT HOLDER,11512,1124.68,19,High Demand,Increase Stock
22467,GUMBALL COAT RACK,11460,26149.13,928,High Demand,Increase Stock
22384,LUNCH BAG PINK POLKADOT,11392,18207.2,1101,High Demand,Increase Stock
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,11335,1017.18,51,High Demand,Increase Stock
20711,JUMBO BAG TOYS ,11326,20283.78,671,High Demand,Increase Stock
79000,MOROCCAN TEA GLASS,11309,8407.609999999999,333,High Demand,Increase Stock
22740,POLKADOT PEN,11303,9276.83,180,High Demand,Increase Stock
82600,NO SINGING METAL SIGN,11194,22097.04,970,High Demand,Increase Stock
22561,WOODEN SCHOOL COLOURING SET,11158,17861.22,838,High Demand,Increase Stock
21871,SAVE THE PLANET MUG,11099,12515.44,600,High Demand,Increase Stock
22555,PLASTERS IN TIN STRONGMAN,11048,17664.44,856,High Demand,Increase Stock
84378,SET OF 3 HEART COOKIE CUTTERS,11007,13862.84,944,High Demand,Increase Stock
22867,HAND WARMER BIRD DESIGN,11000,22168.33,907,High Demand,Increase Stock
15056N,EDWARDIAN PARASOL NATURAL,10948,54332.61,863,High Demand,Increase Stock
20993,JAZZ HEARTS MEMO PAD,10945,1305.49,24,High Demand,Increase Stock
22027,TEA PARTY BIRTHDAY CARD,10808,4395.65,636,High Demand,Increase Stock
23202,JUMBO BAG VINTAGE LEAF,10695,20921.55,772,High Demand,Increase Stock
35961,FOLKART ZINC HEART CHRISTMAS DEC,10651,8229.67,397,High Demand,Increase Stock
20724,RED SPOTTY CHARLOTTE BAG,10648,8468.4,587,High Demand,Increase Stock
17084R,ASSORTED INCENSE PACK,10625,1968.45,66,High Demand,Increase Stock
21390,FILIGRIS HEART WITH BUTTERFLY,10622,12849.14,482,High Demand,Increase Stock
23203,JUMBO BAG VINTAGE DOILY ,10620,20641.4,621,High Demand,Increase Stock
16047,POP ART PEN CASE & PENS,10587,1015.59,23,High Demand,Increase Stock
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10526,28513.300000000003,787,High Demand,Increase Stock
21314,SMALL GLASS HEART TRINKET POT,10447,20588.260000000002,711,High Demand,Increase Stock
21506,"FANCY FONT BIRTHDAY CARD, ",10430,4186.92,544,High Demand,Increase Stock
21916,SET 12 RETRO WHITE CHALK STICKS,10417,4211.9800000000005,537,High Demand,Increase Stock
22741,FUNKY DIVA PEN,10297,8672.109999999999,196,High Demand,Increase Stock
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,10290,12354.22,625,High Demand,Increase Stock
21787,RAIN PONCHO RETROSPOT,10256,8096.48,232,High Demand,Increase Stock
22188,BLACK HEART CARD HOLDER,10255,27324.45,487,High Demand,Increase Stock
21136,PAINTED METAL PEARS ASSORTED,10255,16907.51,714,High Demand,Increase Stock
21385,IVORY HANGING DECORATION  HEART,10146,8324.58,505,High Demand,Increase Stock
16046,TEATIME PEN CASE & PENS,9949,1043.53,45,High Demand,Increase Stock
22112,CHOCOLATE HOT WATER BOTTLE,9904,45601.340000000004,1447,High Demand,Increase Stock
21669,BLUE STRIPE CERAMIC DRAWER KNOB,9897,12115.21,639,High Demand,Increase Stock
22557,PLASTERS IN TIN VINTAGE PAISLEY ,9827,15614.59,991,High Demand,Increase Stock
15034,PAPER POCKET TRAVELING FAN ,9818,1156.1200000000001,172,High Demand,Increase Stock
16237,SLEEPING CAT ERASERS,9730,1959.3,340,High Demand,Increase Stock
22662,LUNCH BAG DOLLY GIRL DESIGN,9715,15305.19,872,High Demand,Increase Stock
22951,60 CAKE CASES DOLLY GIRL DESIGN,9707,4983.61,492,High Demand,Increase Stock
82484,WOOD BLACK BOARD ANT WHITE FINISH,9678,54525.36,1048,High Demand,Increase Stock
22959,WRAP CHRISTMAS VILLAGE,9663,3950.46,280,High Demand,Increase Stock
23077,DOUGHNUT LIP GLOSS ,9642,11615.7,308,High Demand,Increase Stock
22666,RECIPE BOX PANTRY YELLOW DESIGN,9600,27222.52,1277,High Demand,Increase Stock
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,9592,11818.65,814,High Demand,Increase Stock
22383,LUNCH BAG SUKI DESIGN ,9570,15332.9,899,High Demand,Increase Stock
62018,SOMBRERO ,9548,12413.8,123,High Demand,Increase Stock
84050,PINK HEART SHAPE EGG FRYING PAN,9547,13316.63,557,High Demand,Increase Stock
20975,12 PENCILS SMALL TUBE RED RETROSPOT,9493,6111.650000000001,459,High Demand,Increase Stock
22530,MAGIC DRAWING SLATE DOLLY GIRL ,9438,3781.8,371,High Demand,Increase Stock
22296,HEART IVORY TRELLIS LARGE,9416,15218.08,739,High Demand,Increase Stock
21908,CHOCOLATE THIS WAY METAL SIGN,9396,18041.24,801,High Demand,Increase Stock
21668,RED STRIPE CERAMIC DRAWER KNOB,9391,11446.75,614,High Demand,Increase Stock
M,Manual,9384,151777.67,620,High Demand,Increase Stock
22652,TRAVEL SEWING KIT,9353,14859.81,716,High Demand,Increase Stock
15056BL,EDWARDIAN PARASOL BLACK,9351,45885.07,788,High Demand,Increase Stock
16045,POPART WOODEN PENCILS ASST,9300,428.0,72,High Demand,Increase Stock
84029E,RED WOOLLY HOTTIE WHITE HEART.,9259,31876.47,956,High Demand,Increase Stock
21174,POTTERING IN THE SHED METAL SIGN,9247,17814.51,855,High Demand,Increase Stock
22544,MINI JIGSAW SPACEBOY,9209,3613.4,261,High Demand,Increase Stock
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,9171,11022.43,563,High Demand,Increase Stock
22111,SCOTTIE DOG HOT WATER BOTTLE,9092,42463.200000000004,1457,High Demand,Increase Stock
20973,12 PENCIL SMALL TUBE WOODLAND,9091,5776.55,514,High Demand,Increase Stock
21165,BEWARE OF THE CAT METAL SIGN ,9080,14070.08,779,High Demand,Increase Stock
21495,SKULLS AND CROSSBONES WRAP,9065,3695.3,267,High Demand,Increase Stock
22138,BAKING SET 9 PIECE RETROSPOT ,9035,43070.91,1742,High Demand,Increase Stock
22988,SOLDIERS EGG CUP ,9033,10415.22,349,High Demand,Increase Stock
22444,GROW YOUR OWN PLANT IN A CAN ,8960,10976.56,328,High Demand,Increase Stock
23344,JUMBO BAG 50'S CHRISTMAS ,8933,17636.04,586,High Demand,Increase Stock
21671,RED SPOT CERAMIC DRAWER KNOB,8931,10762.47,568,High Demand,Increase Stock
22759,SET OF 3 NOTEBOOKS IN PARCEL,8860,14138.4,634,High Demand,Increase Stock
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8849,21490.170000000002,599,High Demand,Increase Stock
22114,HOT WATER BOTTLE TEA AND SYMPATHY,8848,34479.62,1298,High Demand,Increase Stock
85160A,WHITE BIRD GARDEN DESIGN MUG,8800,1323.2,22,High Demand,Increase Stock
21868,POTTING SHED TEA MUG,8770,10353.86,719,High Demand,Increase Stock
22384,LUNCH BAG PINK RETROSPOT,8738,13893.7,730,High Demand,Increase Stock
23203,JUMBO BAG DOILEY PATTERNS,8735,16737.1,454,High Demand,Increase Stock
22791,T-LIGHT GLASS FLUTED ANTIQUE,8698,9985.630000000001,332,High Demand,Increase Stock
21499,BLUE POLKADOT WRAP,8675,3493.5,262,High Demand,Increase Stock
22704,WRAP RED APPLES ,8650,3553.0,293,High Demand,Increase Stock
21169,YOU'RE CONFUSING ME METAL SIGN ,8642,13438.58,621,High Demand,Increase Stock
21121,SET/10 RED POLKADOT PARTY CANDLES,8541,10238.49,438,High Demand,Increase Stock
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,8514,11187.26,697,High Demand,Increase Stock
22727,ALARM CLOCK BAKELIKE RED ,8512,30703.09,1144,High Demand,Increase Stock
22697,GREEN REGENCY TEACUP AND SAUCER,8500,23507.24,933,High Demand,Increase Stock
10002,INFLATABLE POLITICAL GLOBE ,8479,6638.2699999999995,297,High Demand,Increase Stock
22356,CHARLOTTE BAG PINK POLKADOT,8455,6812.09,600,High Demand,Increase Stock
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,8455,3396.07,498,High Demand,Increase Stock
22960,JAM MAKING SET WITH JARS,8454,33833.72,903,High Demand,Increase Stock
22084,PAPER CHAIN KIT EMPIRE,8437,23049.95,704,High Demand,Increase Stock
21980,PACK OF 12 RED RETROSPOT TISSUES ,8425,2533.77,345,High Demand,Increase Stock
22536,MAGIC DRAWING SLATE PURDEY,8378,3265.56,313,High Demand,Increase Stock
22219,LOVEBIRD HANGING DECORATION WHITE ,8375,7009.55,726,High Demand,Increase Stock
22621,TRADITIONAL KNITTING NANCY,8365,12780.57,719,High Demand,Increase Stock
22633,HAND WARMER UNION JACK,8364,16857.36,790,High Demand,Increase Stock
22440,BALLOON WATER BOMB PACK OF 35,8296,3224.52,258,High Demand,Increase Stock
85184D,S/4 BLUE ROUND DECOUPAGE BOXES,8294,4445.139999999999,52,High Demand,Increase Stock
22065,CHRISTMAS PUDDING TRINKET POT ,8257,5453.99,333,High Demand,Increase Stock
23293,SET OF 12 FAIRY CAKE BAKING CASES,8228,6457.0,465,High Demand,Increase Stock
22047,EMPIRE GIFT WRAP,8225,3340.5,260,High Demand,Increase Stock
22295,HEART FILIGREE DOVE LARGE,8159,13184.07,620,High Demand,Increase Stock
21986,PACK OF 12 PINK SPOT TISSUES ,8151,3058.93,155,High Demand,Increase Stock
22907,PACK OF 20 NAPKINS PANTRY DESIGN,8141,6497.87,675,High Demand,Increase Stock
82581,TOILET METAL SIGN,8125,4337.97,728,High Demand,Increase Stock
21500,PINK POLKADOT WRAP ,8125,3298.5,260,High Demand,Increase Stock
16162L,THE KING GIFT BAG,8083,553.79,17,High Demand,Increase Stock
85150,LADIES & GENTLEMEN METAL SIGN,8078,18847.98,889,High Demand,Increase Stock
21989,PACK OF 20 SKULL PAPER NAPKINS,8073,5973.09,468,High Demand,Increase Stock
21670,BLUE SPOT CERAMIC DRAWER KNOB,8061,9894.93,580,High Demand,Increase Stock
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,8034,6365.84,536,High Demand,Increase Stock
22335,HEART DECORATION PAINTED ZINC ,8034,4895.1,336,High Demand,Increase Stock
21900,"KEY FOB , SHED",8033,5094.29,654,High Demand,Increase Stock
20975,12 PENCILS SMALL TUBE RED SPOTTY,7997,4998.05,304,High Demand,Increase Stock
22158,3 HEARTS HANGING DECORATION RUSTIC,7982,22471.86,646,High Demand,Increase Stock
22966,GINGERBREAD MAN COOKIE CUTTER,7946,9497.91,610,High Demand,Increase Stock
23230,WRAP ALPHABET DESIGN,7925,3196.5,232,High Demand,Increase Stock
23076,ICE CREAM SUNDAE LIP GLOSS,7896,9638.16,248,High Demand,Increase Stock
21917,SET 12 KIDS  WHITE CHALK STICKS,7892,3226.38,381,High Demand,Increase Stock
35970,ZINC FOLKART SLEIGH BELLS,7851,12806.27,545,High Demand,Increase Stock
84987,SET OF 36 TEATIME PAPER DOILIES,7832,11012.88,642,High Demand,Increase Stock
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7754,14626.73,451,High Demand,Increase Stock
22087,PAPER BUNTING WHITE LACE,7752,21336.350000000002,663,High Demand,Increase Stock
22950,36 DOILIES VINTAGE CHRISTMAS,7744,10590.4,299,High Demand,Increase Stock
21500,PINK SPOTS  WRAP ,7725,3102.5,229,High Demand,Increase Stock
